stt,ten_cong_ty,ma_phe_duyet,so_luong_nganh_cap_phep,cac_nganh_hoat_dong,cac_hoat_dong_chi_tiet,dia_chi,thanh_pho,ma_buu_chinh,vung_tinh,quoc_gia,ngay_cap_nhat_moi_nhat
328,UAB FORSIJA,190014225,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Taikos pr. 106A, Kaunas, Lietuva",Kaunas,LT-51167,Kaunas County,Lithuania,2024-01-24
329,UAB FRUSELA,LT57-01P EB,1,"MMP (Raw milk, dairy products, colostrum and colostrum-based products)",PP - Processing Plant,"GEDIMINO 110, Kupiškis, LT-40134",Kupiškis,40131,Panevezys County,Lithuania,2021-03-22
330,UAB Farmers Circle,LT 81-002 K,1,EEP (Eggs and egg products),PP - Processing Plant,"Žirgyno g. 1, Radiškis, Žemaitkiemio sen.",Radiškis,LT-20364,Vilnius County,Lithuania,2024-04-05
331,UAB Farmers circle processing,81-12,5,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM) | WM (Wild game meat) | GEN (General activity establishment - EU) | RM (Meat of domestic ungulates) | RPM (Meat products)",MP - Meat Preparation Plant; MM - Minced Meat Plant | CP - Cutting Plant | CS - Cold Stores | CP - Cutting Plant; SH - Slaughterhouse | PP - Processing Plant,"Žirgyno g. 11, Radiškio k., Žemaitkiemio sen., Ukmergės r. sav.",Radiškis,LT-20364,Vilnius County,Lithuania,2026-06-01
332,UAB Food haus,LT 01-47,2,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM) | FFP (Fishery products - EU)",MP - Meat Preparation Plant | PP - Processing Plant,"Pramonės g. 141, Vilniaus m. sav.",Vilnius,LT-11115,Vilnius County,Lithuania,2026-01-13
333,UAB Foodlevel,LT 01-02,1,FFP (Fishery products - EU),WM - Wholesale Market,Liepsnos g. 4,Vilnius,03154,Vilnius County,Lithuania,2023-04-12
334,UAB Frigolita,LT 29-03 EB,1,GEN (General activity establishment - EU),RW - Re-wrapping Establishment; WM - Wholesale Market; CS - Cold Stores,Dvaro g. 162G,Šiauliai,LT-76197,Siauliai County,Lithuania,2026-08-26
335,UAB Fudo,19-37,1,GEN (General activity establishment - EU),CS - Cold Stores,Taikos pr. 96,Kaunas,LT-51178,Kaunas County,Lithuania,2021-03-17
336,UAB GENBA FOOD,520000716,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Kauno apskr. Kauno r. sav., Garliavos sen., Pagirių k., Marijampolės g. 27",Pagiriai,LT-53282,Kaunas County,Lithuania,2021-09-06
337,UAB GERANTA IR PARTNERIAI,77-18,3,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM) | RM (Meat of domestic ungulates) | RPM (Meat products)",MM - Minced Meat Plant | CP - Cutting Plant | PP - Processing Plant,"Tauragės apskr., Tauragės r. sav., Tauragės miesto sen., Tauragė, Gedimino g. 50",Tauragė,LT-72185,Taurage County,Lithuania,2021-03-17
338,UAB GODERUS,305580446,1,GEN (General activity establishment - EU),WM - Wholesale Market,MARTINAVOS G.8,Martinava,LT-52249,Kaunas County,Lithuania,2024-05-02
339,UAB GURGUOLĖ,190009819,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Kauno apskr. Kauno m. sav., Kaunas, Taikos pr. 94",Kaunas,LT-51178,Kaunas County,Lithuania,2021-03-18
340,UAB GURMANO SAPNAS,520001565,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Kauno apskr., Kauno r. sav., Garliavos apylinkių sen., Pagiriai, Marijampolės g. 27",Pagiriai,LT-53282,Kaunas County,Lithuania,2021-03-18
341,UAB Galjana,LT 01-05 EB,2,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM) | RPM (Meat products)",MP - Meat Preparation Plant | PP - Processing Plant,Untulių g. 6,Vilnius,11115,Vilnius County,Lithuania,2021-03-25
342,UAB Garai,LT 01-19,1,RPM (Meat products),PP - Processing Plant,"Gariūnų g. 71, Vilnius",Vilnius,02300,Vilnius County,Lithuania,2021-03-22
343,UAB Gardumeli,LT 01-03 EB; 01-10,2,GEN (General activity establishment - EU) | FLS (Frogs' legs and snails),WM - Wholesale Market; CS - Cold Stores | PP - Processing Plant,Arimų g. 35,Vilnius,11115,Vilnius County,Lithuania,2021-03-25
344,UAB Genetiniai ištekliai,304979983,1,RM (Meat of domestic ungulates),CP - Cutting Plant; SH - Slaughterhouse,"Arimaičių g. 1, Pavartyčių k., Šeduvos miesto sen., Radviliškio r.",Pavartyčių k.,LT-82215,Siauliai County,Lithuania,2021-11-16
345,UAB Gisnė LT,190012003,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Draugystės g. 19, Kaunas",Kaunas,LT-51178,Kaunas County,Lithuania,2024-07-30
346,UAB Globalfoodconnection,82-10,1,GEN (General activity establishment - EU),CS - Cold Stores; RW - Re-wrapping Establishment,"Paežerės g. 9, Ruklių k., Daugailių sen., Utenos r. sav.",Nuodėguliai,LT-28404,Utena County,Lithuania,2025-12-18
347,UAB Gonas,77-10,1,FFP (Fishery products - EU),PP - Processing Plant,"Ližių g. 1, Ližių km., LT-72364 Tauragės r.",Tauragė,LT-72253,Taurage County,Lithuania,2021-03-17
348,UAB Greita upė,19-20,1,"MMP (Raw milk, dairy products, colostrum and colostrum-based products)",PP - Processing Plant,Raudondvario pl. 76,Kaunas,LT-47182,Kaunas County,Lithuania,2021-03-15
349,UAB Grialtis,LT 01-26; LT 01-09 EB,1,GEN (General activity establishment - EU),CS - Cold Stores; WM - Wholesale Market,Geležinio Vilko g. 2,Vilnius,03150,Vilnius County,Lithuania,2022-03-22
350,UAB Griveta,LT 41-19,1,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM)",MP - Meat Preparation Plant,Eglinės k.,Eglinė,LT-15151,Vilnius County,Lithuania,2021-05-19
351,UAB Gyveta,LT66-01 EB,1,RM (Meat of domestic ungulates),SH - Slaughterhouse; CP - Cutting Plant,"Klevų g. 42A, Vaivadų k., Panevėžio r 
LT 38444",Vaivadai,LT-35115,Panevezys County,Lithuania,2021-03-16
352,UAB HES-PRO VILNIUS,33MTSPĮ-1079,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Sodų g. 135, Tirkiliškių k., Alšėnų sen., Kauno r.",Tirkiliškiai,LT-53317,Kaunas County,Lithuania,2021-03-31
353,UAB Handelshus,LT 01-29,1,GEN (General activity establishment - EU),WM - Wholesale Market; CS - Cold Stores,Savanorių pr. 180,Vilnius,03154,Vilnius County,Lithuania,2025-02-05
354,UAB Hantera,68-13,1,WM (Wild game meat),GHE - Game-Handling Establishment,"Paežerės g. 5, Paluokės k., Plungės r. sav.",Paluokė,LT-90441,Telsiai County,Lithuania,2021-03-23
355,UAB ICECO žuvis,LT 51-15 EB; 190011873; 520001880,2,FFP (Fishery products - EU) | GEN (General activity establishment - EU),PP - Processing Plant | WM - Wholesale Market,"Ledo g. 1, Liepynų k., LT-68126 Marijampolė",Liepynai,LT-68122,Marijampole County,Lithuania,2021-09-17
356,UAB IMLITEX,190008791,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Kauno apskr., Kauno m. sav., Kaunas, Europos pr. 38",Kaunas,LT-46369,Kaunas County,Lithuania,2021-03-19
357,UAB INDAS RESOURCES,304258442,1,GEN (General activity establishment - EU),WM - Wholesale Market; CS - Cold Stores,"Kauno apskr., Kauno r. sav., Karmėlavos sen., Biruliškių k., Terminalo g. 6",Biruliškės,LT-54435,Kaunas County,Lithuania,2024-05-07
358,UAB Iceco trade,190011854; 520001858,1,GEN (General activity establishment - EU),WM - Wholesale Market | CS - Cold Stores; WM - Wholesale Market,"B.Brazdžionio g. 21, Kaunas",Kaunas,LT-48184,Kaunas County,Lithuania,2023-09-14
359,UAB JATKANČIŲ MĖSINĖ,77-23,2,RM (Meat of domestic ungulates) | RPM (Meat products),CP - Cutting Plant | PP - Processing Plant,"Tauragės apskr., Tauragės r. sav., Tauragės sen., Jatkančių k.",Jatkančiai,LT-72179,Taurage County,Lithuania,2021-03-17
360,UAB JONIŠKIO MĖSA,LT 47-07,1,RPM (Meat products),PP - Processing Plant,"Mokyklos g. 2, Gasčiūnų k.",Joniškis,LT-84260,Siauliai County,Lithuania,2021-03-18
361,UAB Jolada,86-09; 86-01,2,FFP (Fishery products - EU) | GEN (General activity establishment - EU),PP - Processing Plant | CS - Cold Stores,"Aukštaičių g. 33,Cirkliškis,Cirkliškio sen.,Švenčionių r. sav.",Cirkliškis,LT-18123,Vilnius County,Lithuania,2021-03-19
362,UAB Judex,19-33,1,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM)",MP - Meat Preparation Plant,"Europos pr. 96C, Kaunas",Kaunas,LT-46351,Kaunas County,Lithuania,2021-03-19
363,UAB Jurbarkų mėsa,LT 94-04 EB,3,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM) | RM (Meat of domestic ungulates) | RPM (Meat products)",MP - Meat Preparation Plant; MM - Minced Meat Plant | SH - Slaughterhouse; CP - Cutting Plant | PP - Processing Plant,"Daržų g. 10, Jurbarkų k.,  Jurbarkų sen., Jurbarko r. sav., Tauragės apskr.",Jurbarkai,LT-74112,Taurage County,Lithuania,2021-03-19
364,UAB Jurestos prekyba,LT 41-18 EB,1,RPM (Meat products),PP - Processing Plant,"Eglinės km., Marijampolio sen., Vilniaus raj.",Eglinė,LT-17249,Vilnius County,Lithuania,2021-03-25
365,UAB Jurginų mėsa,LT 81-304 M,1,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM)",MP - Meat Preparation Plant,"Jurįginų k., Deltuvos sen.",Jurginai,LT-20126,Vilnius County,Lithuania,2021-03-22
